Title,Article URL,MP3 URL,Voice,Date Added,Published Date,Summary
"Community is Motivation on Tap",https://example.com/community-motivation,https://deanputney.github.io/read-articles/episodes/community-is-motivation-on-tap_af_bella.mp3,af_bella,2025-06-29 09:18:00,2025-07-04 10:00:00,"An exploration of how community and social connections can serve as a powerful source of motivation and inspiration in our daily lives."
"atharva's blog",https://ksagar.bearblog.dev/vjepa/,https://deanputney.github.io/read-articles/episodes/atharvas-blog_af_bella.mp3,af_bella,2025-06-29 18:07:06,2025-07-04 11:00:00,"A technical deep-dive into VJEPA (Video Joint Embedding Predictive Architecture) and its applications in computer vision and machine learning."
"Flounder Mode",https://joincolossus.com/article/flounder-mode/,https://deanputney.github.io/read-articles/episodes/flounder-mode_af_bella.mp3,af_bella,2025-07-04 08:17:44,2025-07-04 12:00:00,"An insightful analysis of 'flounder mode' - the state of being stuck or struggling to make progress, and strategies for overcoming it."
I Called Everyone in Jeffrey Epstein’s Little Black Book,https://www.motherjones.com/politics/2020/10/i-called-everyone-in-jeffrey-epsteins-little-black-book/,https://deanputney.github.io/read-articles/episodes/i-called-everyone-in-jeffrey-epsteins-little-black-book_af_bella.mp3,af_bella,2025-07-16 21:57:06,2025-07-16 21:57:06,An audio version of the article: I Called Everyone in Jeffrey Epstein’s Little Black Book
Fascism For First Time Founders,https://www.techdirt.com/2025/07/17/fascism-for-first-time-founders/,https://deanputney.github.io/read-articles/episodes/fascism-for-first-time-founders_af_bella.mp3,af_bella,2025-07-17 14:16:43,2025-07-17 14:16:43,"Is authoritarianism good for tech innovation? This article argues it's a disaster, destroying the open competition and trust that progress depends on."
The Trouble With Wanting Men - The New York Times,https://www.nytimes.com/2025/07/21/magazine/men-heterofatalism-dating-relationships.html,https://deanputney.github.io/read-articles/episodes/the-trouble-with-wanting-men---the-new-york-times_af_bella.mp3,af_bella,2025-07-21 15:54:45,2025-07-21 15:54:45,"Exploring ""heterofatalism,"" the phenomenon of women fed up with dating emotionally unavailable men, and asking what we are to do with our desire."
Billionaires Destroyed American News Media On Purpose,https://www.todayintabs.com/p/billionaires-destroyed-american-news-media-on-purpose-7d91,https://deanputney.github.io/read-articles/episodes/billionaires-destroyed-american-news-media-on-purpose_af_bella.mp3,af_bella,2025-07-22 16:05:25,2025-07-22 16:05:25,"A look at how billionaires are systematically dismantling the American news media, from the Washington Post to CBS, leading to a collapse of public..."
How to increase your surface area for luck - by Cate Hall,https://usefulfictions.substack.com/p/how-to-increase-your-surface-area,https://deanputney.github.io/read-articles/episodes/how-to-increase-your-surface-area-for-luck---by-cate-hall_af_bella.mp3,af_bella,2025-07-23 13:54:18,2025-07-23 13:54:18,"This article argues that luck isn't passive but a skill you can cultivate. By increasing your ""surface area for luck"" through curiosity and action,..."
Visa and Mastercard: The Global Payment Duopoly,https://quartr.com/insights/edge/visa-and-mastercard-the-global-payment-duopoly,https://deanputney.github.io/read-articles/episodes/visa-and-mastercard-the-global-payment-duopoly_af_bella.mp3,af_bella,2025-07-25 11:38:47,2025-07-25 11:38:47,Visa and Mastercard's duopoly processes 90% of global payments. This episode explores how they built their empire and the emerging threats to their...
"2/3/22, 9:31 PM The Bitter Lesson",https://www.cs.utexas.edu/~eunsol/courses/data/bitter_lesson.pdf,https://deanputney.github.io/read-articles/episodes/2322-931-pm-the-bitter-lesson_af_bella.mp3,af_bella,2025-07-29 08:30:45,2025-07-29 08:30:45,"Rich Sutton's ""Bitter Lesson"" explains why AI methods using pure computational power and learning consistently outperform those based on human know..."
Experimental History,https://www.experimental-history.com/p/face-it-youre-a-crazy-person,https://deanputney.github.io/read-articles/episodes/experimental-history_af_bella.mp3,af_bella,2025-07-31 12:50:54,2025-07-31 12:50:54,"An audio version of the article about I meet a lot of people who don’t like their jobs, ..."
My AI Skeptic Friends Are All Nuts,https://fly.io/blog/youre-all-nuts/,https://deanputney.github.io/read-articles/episodes/my-ai-skeptic-friends-are-all-nuts_af_bella.mp3,af_bella,2025-08-05 08:11:57,2025-08-05 08:11:57,"A seasoned developer's heartfelt provocation to AI skeptics in software engineering, arguing that modern LLM agents are vital tools, not just a fad."
The Relativity of Wrong,https://hermiene.net/essays-trans/relativity_of_wrong.html,https://deanputney.github.io/read-articles/episodes/the-relativity-of-wrong_af_bella.mp3,af_bella,2025-08-26 09:56:31,2025-08-26 09:56:31,"Are scientific theories wrong, or just incomplete? Isaac Asimov argues for the latter, showing how our understanding of the universe is constantly ..."
